"gseid","ngsm","restoration.grn","biotin.stain.red","biotin.stain.grn","specificityI.red","specificityI.grn","specificityII","extension.red","extension.grn","hyb.hi.med","hyb.med.low","target.removal.1","target.removal.2","bisulfite.conv.I.red","bisulfite.conv.I.grn","bisulfite.conv.II","nonpolymorphic.red","nonpolymorphic.grn","meth_<_10","unmeth_<_10","meth_<_11","unmeth_<_11","meth_<_12","unmeth_<_12","qc.stf.filt","ba.stf.filt"
"GSE80468",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.71,1,"below","below"
"GSE128068;GSE128067",37,0,0.43,0.35,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0.59,0.81,0.22,0.19,0.86,0.89,1,1,"above","above"
"GSE73626",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.22,0,"below","below"
"GSE67485;GSE67477",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.29,"below","below"
"GSE97687",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,"below","below"
"GSE103911",64,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1,"below","below"
"GSE107352;GSE107353",51,0,0.33,0.51,0,0,0,0,0,0,0,0,0,0,0,0.02,0.43,0.69,0.16,0.16,0.8,0.73,1,1,"above","above"
"GSE104287",47,0,0.04,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.91,"below","below"
"GSE63106",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.13,"below","below"
"GSE89400;GSE89401",17,0,0.41,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.53,1,"below","above"
"GSE98224",47,0,0.13,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,"below","below"
"GSE72364",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"below","below"
"GSE122126",11,0,0.18,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.09,0.36,0.27,0.91,0.91,"below","below"
"GSE103413",66,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0.08,0,0,0,0,0.14,0.03,"below","below"
"GSE75196",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,1,0.08,"below","below"
"GSE104728;GSE107511",44,0,0.16,0.32,0,0,0,0,0,0.64,0.64,0,0,0,0.02,0.02,0,0.02,0,0,0.02,0,0.45,0.16,"below","above"
"GSE126017",52,0,0.19,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.04,"below","below"
"GSE92378",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.53,0.68,"below","below"
"GSE110778;GSE110780",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,"below","below"
"GSE85845",16,0,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,1,"below","below"
"GSE110776;GSE110780",24,0,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,"below","below"
"GSE109096;GSE109097",11,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"below","below"
"GSE61160",51,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0,0,0,0,0,0,0.04,0.29,"below","below"
"GSE85042",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,"below","below"
"GSE66298;GSE66295",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.82,1,"below","below"
