"tissue","gsmid"
"blood","GSM2814538"
"blood","GSM2334040"
"blood","GSM2334485"
"blood","GSM2337473"
"blood","GSM2656179"
"blood","GSM2815336"
"blood","GSM3026627"
"blood","GSM2877336"
"blood","GSM3035941"
"blood","GSM2363866"
"blood","GSM2337544"
"blood","GSM2814518"
"blood","GSM2363593"
"blood","GSM3440719"
"blood","GSM2267993"
"blood","GSM2815124"
"blood","GSM2363747"
"blood","GSM3380799"
"blood","GSM3440448"
"blood","GSM3440482"
"blood","GSM1338116"
"blood","GSM2738136"
"blood","GSM1425702"
"blood","GSM2127947"
"blood","GSM2814708"
"blood","GSM1649769"
"blood","GSM2814389"
"blood","GSM2794362"
"blood","GSM2815069"
"blood","GSM2814632"
"blood","GSM2334530"
"blood","GSM3026739"
"blood","GSM2815637"
"blood","GSM2867868"
"blood","GSM2334006"
"blood","GSM3440698"
"blood","GSM2562913"
"blood","GSM3440558"
"blood","GSM2814778"
"blood","GSM2363837"
"blood","GSM1338121"
"blood","GSM3035409"
"blood","GSM2814505"
"blood","GSM2815474"
"blood","GSM2656214"
"blood","GSM3035606"
"blood","GSM1338110"
"blood","GSM2260591"
"blood","GSM2337057"
"blood","GSM2333995"
"blood","GSM2814677"
"blood","GSM1649807"
"blood","GSM2337559"
"blood","GSM2337056"
"blood","GSM2807759"
"blood","GSM1649757"
"blood","GSM2656181"
"blood","GSM2334045"
"blood","GSM3440555"
"blood","GSM3380782"
"blood","GSM3380779"
"blood","GSM3035920"
"blood","GSM2796289"
"blood","GSM3035600"
"blood","GSM3035531"
"blood","GSM3035604"
"blood","GSM3035675"
"blood","GSM3035839"
"blood","GSM2260579"
"blood","GSM2815513"
"blood","GSM3440687"
"blood","GSM3035484"
"blood","GSM3035762"
